experiment_id,label,linear_probe_acc,dp_acc_eps05
IMG-01,SVHN full,0.9697999954223633,0.9597
IMG-02,SVHN {0-4}→MNIST {0-4},0.9863786697387695,0.9846
IMG-03,SVHN {5-9}→MNIST {0-4},0.9815139174461365,0.9684
IMG-04,SVHN AE,0.8985000252723694,0.8771
IMG-05,SVHN 10%,0.9620000123977661,0.9534
IMG-06,SVHN 25%,0.9663000106811523,0.9529
IMG-07,SVHN 50%,0.970300018787384,0.9552
IMG-08,CIFAR-10,0.9628000259399414,0.9419
IMG-09,SVHN+Aug,0.9713000059127808,0.9585
IMG-10,FashionMNIST,0.9434000253677368,0.9355
