Experiment,fid,kl_estimated,jsd,total_variation,mmd_rbf,proxy_a_distance,wasserstein,mauve,linear_probe_acc
SVHN full,196.68031499364304,52.666658269391114,0.262720895788098,0.13856562499999722,0.06136977672576904,1.9736000000000002,10.959623219026401,0.9981040637909822,0.9697999954223633
SVHN {0-4}→MNIST {0-4},204.8416947752246,63.76082051767005,0.5230847466360337,0.1655820312499967,0.07847130298614502,1.9820000000000002,9.02398924628205,0.9976648514025713,0.9863786697387695
SVHN {5-9}→MNIST {0-4},190.06079484833444,89.15829308981863,0.5041887480926993,0.18117265624999637,0.1374589204788208,1.9836000000000005,9.72376405134689,0.9973300492054278,0.9815139174461365
SVHN AE,194.5693937116161,53.44775227034538,0.49001224163509877,0.1390906249999972,0.060331106185913086,1.9736000000000002,11.024553996810232,0.9961947439312882,0.8985000252723694
SVHN 10%,196.1363448530129,67.52097946326224,0.4903550252953519,0.17817265624999643,0.10327637195587158,1.9900000000000007,10.967493070540138,0.9979521580452828,0.9620000123977661
SVHN 25%,194.03601854538914,56.5937894410841,0.42972879178630674,0.14271640624999715,0.06339001655578613,1.9768,10.129342456858343,0.9983091068013603,0.9663000106811523
SVHN 50%,194.74143913845356,51.07096654245514,0.37718788026548755,0.13923593749999721,0.05883979797363281,1.972,10.508510053864585,0.9981649118328961,0.970300018787384
CIFAR-10,254.79184731274455,65.84312727840202,0.6226886639469891,0.2566031249999948,0.16939377784729004,1.9956000000000005,12.749823213287126,0.996637809123131,0.9628000259399414
SVHN+Aug,191.38769626925117,58.685813886550314,0.49274797178107244,0.14312890624999713,0.0615917444229126,1.9823999999999997,11.121770967640398,0.9982543009385383,0.9713000059127808
FashionMNIST,239.42751091780386,185.92229404720464,0.6412633409428103,0.28852812499999425,0.1393493413925171,1.9908000000000001,13.406396898578551,0.9966740812599051,0.9434000253677368
